Date,Open,High,Low,Close,Volume,Message
31-Dec-14,223.09,225.68,222.25,222.41,2402097,
2-Jan-15,222.87,223.25,213.26,219.31,4764443,
5-Jan-15,214.55,216.5,207.163,210.09,5368477,
6-Jan-15,210.06,214.2,204.21,211.28,6261936,
7-Jan-15,213.35,214.78,209.78,210.95,2968390,
8-Jan-15,212.81,213.8,210.01,210.615,3442509,
9-Jan-15,208.92,209.98,204.96,206.66,4668295,
12-Jan-15,203.05,204.47,199.25,202.21,5950280,
13-Jan-15,203.32,207.61,200.911,204.25,4477320,
14-Jan-15,185.83,195.2,185,192.69,11551855,Detroit Auto Show
15-Jan-15,194.49,195.75,190,191.87,5216524,
16-Jan-15,190.7,194.49,189.65,193.07,3603158,
20-Jan-15,193.87,194.12,187.04,191.93,4503182,
21-Jan-15,189.55,198.68,189.51,196.57,4153043,
22-Jan-15,197,203.24,195.2,201.62,4116905,
23-Jan-15,200.29,203.5,198.33,201.29,3442371,
26-Jan-15,201.83,208.62,201.05,206.55,3234522,
27-Jan-15,204.42,208.03,203.3,205.98,2781024,
28-Jan-15,206.11,206.368,198.42,199.37,3149606,
29-Jan-15,201.07,205.98,196.5,205.2,3548106,
30-Jan-15,203.96,207.47,203,203.6,3006959,
2-Feb-15,203.97,211.95,203.3,210.94,4149186,
3-Feb-15,213.22,220.37,211.27,218.36,4826244,
4-Feb-15,218.29,221.479,216.8,218.55,3305377,
5-Feb-15,219.88,225.48,219.638,220.99,3522947,
6-Feb-15,222,223.4,216.5,217.36,3243931,
9-Feb-15,215.38,217.93,211.99,217.48,3472423,
10-Feb-15,217.55,220.5,215,216.29,5390542,
11-Feb-15,212.21,214.74,207.28,212.8,9769102,
12-Feb-15,193.57,203.088,193.28,202.88,15649607,4Q14 Earnings
13-Feb-15,202.9,205.99,200.91,203.77,6191003,
17-Feb-15,205.7,205.7,201.5,204.35,3979647,
18-Feb-15,204.17,206.17,202.6,204.46,2713598,
19-Feb-15,205,212.44,203.75,211.705,5154148,
20-Feb-15,210.78,217.6,209.81,217.11,5982089,
23-Feb-15,215.66,218.2,206.33,207.335,8499775,
24-Feb-15,207.29,207.29,201.7,204.11,6603560,
25-Feb-15,204.94,207.14,202.58,203.76,3909520,
26-Feb-15,204,211.09,202.22,207.19,6472855,
27-Feb-15,206.9,208.55,202.8,203.34,3882084,
2-Mar-15,202.7,203.34,195.825,197.325,7922065,
3-Mar-15,196.81,200.244,195.32,199.56,4432329,
4-Mar-15,199.25,202.52,197.21,202.435,4221962,
5-Mar-15,202.85,206.19,200.15,200.63,4877015,
6-Mar-15,199.21,200.75,192.151,193.88,6712438,
9-Mar-15,194.39,194.49,188.25,190.88,6736724,
10-Mar-15,188.46,193.5,187.6,190.32,5579691,
11-Mar-15,191.15,196.18,191.01,193.74,4974871,
12-Mar-15,193.75,194.45,189.75,191.07,4149294,
13-Mar-15,188.95,191.75,187.32,188.68,5434298,
16-Mar-15,192,195.91,189.8,195.7,5628783,
17-Mar-15,195.43,198.71,193.94,194.73,4894052,
18-Mar-15,194.96,200.88,193.11,200.71,4820936,
19-Mar-15,202,204.59,194.53,195.65,8475244,
20-Mar-15,197.45,198.99,195.621,198.08,4269467,
23-Mar-15,198.5,200.5,197.47,199.63,2631626,
24-Mar-15,201.58,203.79,199.75,201.72,3649860,
25-Mar-15,198.27,198.59,192.7,194.3,5730389,
26-Mar-15,193.92,194.79,189.7,190.405,4127956,
27-Mar-15,189.07,189.29,181.4,185,8604947,
30-Mar-15,185.85,192.25,181.8,190.57,10089516,
31-Mar-15,193.53,193.76,188.41,188.77,5026569,
1-Apr-15,188.7,192.3,186.05,187.59,3794621,
2-Apr-15,190.23,193.23,190,191,5010368,
6-Apr-15,198,207.75,197.5,203.1,12455811,"10,030 deliveries in 1Q15"
7-Apr-15,202.51,205.06,201.14,203.25,4347864,
8-Apr-15,208.2,210.9,205.87,207.67,6303117,
9-Apr-15,208.43,210.37,206.12,210.09,3800225,
10-Apr-15,209.85,211.65,209,210.9,4067676,
13-Apr-15,210.435,213,209.05,209.78,3758230,
14-Apr-15,208.57,209.49,205.5,207.46,3025963,
15-Apr-15,207.46,209.59,206.6,207.83,1952378,
16-Apr-15,207.7,209.17,206.29,206.7,1659059,
17-Apr-15,204.99,206.88,203.5,206.79,2469926,
20-Apr-15,206.78,207.85,203.85,205.27,2559251,
21-Apr-15,205.8,210.75,204.31,209.41,3432541,
22-Apr-15,212.5,221.88,211.69,219.44,7863037,
23-Apr-15,218.27,221.48,217.15,218.6,4411184,
24-Apr-15,220.5,220.8,218.01,218.425,2427843,
27-Apr-15,222.56,238.75,222,231.55,11672627,
28-Apr-15,234.75,235.5,228.03,230.48,6085379,
29-Apr-15,230.05,234.97,227.63,232.45,3936077,
30-Apr-15,230.39,232.89,225.17,226.05,3911857,Tesla Energy Event
1-May-15,229.94,231.77,220.405,226.03,5281689,
4-May-15,228.18,234.73,227.11,230.51,4434596,
5-May-15,237.76,239.5,229.13,232.95,5796873,
6-May-15,234.1,234.47,228.2,230.43,5270933,
7-May-15,221,237.48,220.25,236.8,9455909,1Q15 Earnings
8-May-15,235.99,238.41,233.7,236.61,4668236,
11-May-15,236.29,242.88,235.31,239.49,5672262,
12-May-15,240.11,246.35,238.19,244.74,6363429,
13-May-15,247.61,248.3,242.25,243.18,5440165,
14-May-15,244.82,244.89,241.25,244.1,2895936,
15-May-15,243.93,249.4,242.5,248.84,4527563,
18-May-15,247,249.9,246,248.75,3353212,
19-May-15,248.43,251,246.15,247.14,3674231,
20-May-15,247.13,247.74,241.372,244.35,3755569,
21-May-15,243.03,246.62,242.357,245.62,1970643,
22-May-15,245.38,248.6,245.01,247.73,2223089,
26-May-15,247.68,252,246.5,247.455,3498682,
27-May-15,248.51,249.5,245.55,247.43,3408200,
28-May-15,247.03,251.8,245.05,251.45,3647283,
29-May-15,251,252.868,249.43,250.8,3789283,
1-Jun-15,251.41,251.6,247.47,249.45,2505057,
