Date,Open,High,Low,Close,Volume,Message
31-Dec-15,41.400002,42.994999,41.080002,42.279999,2629600,
4-Jan-16,41.349998,42.740002,39.939999,39.939999,3042400,
5-Jan-16,40.93,40.93,35.630001,36.130001,11027100,
6-Jan-16,38.52,39.700001,37.41,38.029999,12748600,
7-Jan-16,37.43,40.189999,37.419998,39.52,8589300,
8-Jan-16,39.919998,40.540001,38.73,38.740002,5621100,
11-Jan-16,38.950001,39.549999,37.950001,39.07,4879200,
12-Jan-16,39.18,39.93,37.365002,37.740002,4071100,
13-Jan-16,37.869999,38.119999,33.84,33.849998,7295100,Detroit Auto Show (updated guidance)
14-Jan-16,32.130001,33.150002,28.33,30.57,24098100,
15-Jan-16,29.43,31.469999,28.5,29.98,9167300,
19-Jan-16,30.219999,30.645,26.66,28.370001,11721900,
20-Jan-16,28,28.309999,26.129999,27.43,6870200,
21-Jan-16,27.440001,28.74,27.17,27.85,4023500,
22-Jan-16,28.74,30.67,28.57,30.41,4783600,
25-Jan-16,29.620001,29.959999,28.74,28.77,2782700,
26-Jan-16,28.75,29.389999,27.690001,28.030001,3658300,
27-Jan-16,27.530001,27.889999,26.562,27.530001,5457200,
28-Jan-16,28.01,28.370001,24.75,26.6,5843000,
29-Jan-16,26.33,27.219999,26.287001,27.129999,4400000,
1-Feb-16,26.639999,28.77,26.370001,28.700001,3210500,
2-Feb-16,28.059999,28.110001,25.870001,26.15,5128400,
3-Feb-16,26.24,26.52,25.059999,26.049999,3276000,
4-Feb-16,25.799999,28.959999,25.67,27.549999,3775800,
5-Feb-16,27.379999,27.48,25.709999,26.459999,4883500,
8-Feb-16,25.51,25.85,24.5,24.540001,5358300,
9-Feb-16,23.93,26.540001,23.57,24.93,3695400,
10-Feb-16,25,26.379999,24.690001,24.99,2299700,
11-Feb-16,24.5,26,23.6,25.469999,3096600,
12-Feb-16,25.540001,26.34,24.85,25.18,1724900,
16-Feb-16,25.59,27.469999,25.4,27.469999,3601700,
17-Feb-16,27.48,29.02,27.35,27.969999,3357500,
18-Feb-16,27.9,28.629999,26.74,28.379999,3892300,
19-Feb-16,28.43,29.379999,28.059999,28.889999,3140400,
22-Feb-16,29.360001,29.719999,28.83,28.99,1947900,
23-Feb-16,29.33,30,28,28.75,3586000,
24-Feb-16,25.059999,29.9,24.75,29.23,12035700,C4Q15 Earnings
25-Feb-16,29.18,30.879999,28.15,30.74,4116800,
26-Feb-16,31.059999,31.950001,30,31.68,3351400,
29-Feb-16,31.620001,33.580002,31.52,32.459999,3334400,
1-Mar-16,32.84,33.215,31.85,33.169998,3572600,
2-Mar-16,33.07,34.52,31.66,34.400002,4848700,
3-Mar-16,34.029999,34.419998,33.240002,33.73,2889000,
4-Mar-16,33.939999,36.330002,33.470001,34.790001,4352600,
7-Mar-16,34.529999,36.189999,34,35.880001,3098700,
8-Mar-16,35.470001,35.849998,33.48,33.599998,2524300,
9-Mar-16,33.759998,33.889999,32.459999,33.619999,3352000,
10-Mar-16,33.700001,34.299999,32.720001,33.66,2972800,
11-Mar-16,34.25,35.27,33.509998,34.990002,2975100,
14-Mar-16,34.560001,34.939999,33.869999,34.349998,2339500,
15-Mar-16,34.279999,34.48,33.09,33.23,3941500,
16-Mar-16,33.290001,36.5,33.189999,36.380001,5009400,11 OEMs agree to make AEB standard by 2022
17-Mar-16,36.43,37.66,35.639999,36.889999,4321800,
18-Mar-16,37.310001,38.290001,36.779999,37.200001,2951600,
